nom,épaisseur,module,"coefficient
 de poisson",interface
BBTM,0.025,3000,0.35,Collée
EME2,0.11,14000,0.35,Collée
EME2,0.12,14000,0.35,Collée
PF4,0.0,200,0.35,Collée
